time	f_x	f_y	f_z	m_x	m_y	m_z	x	y	z	x0	y0	z0	u_x	u_y	u_z	theta	u0_x	u0_y	u0_z	theta0	dx	dy	dz	lambda_11	lambda_12	lambda_13	lambda_21	lambda_22	lambda_23	lambda_31	lambda_32	lambda_33	omega_x	omega_y	omega_z	lambda_w_11	lambda_w_12	lambda_w_13	lambda_w_21	lambda_w_22	lambda_w_23	lambda_w_31	lambda_w_32	lambda_w_33
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6190921828555306	-0.045821216939543996	-0.05451962314286753	0.6190921828555306	-0.045821216939543996	-0.05451962314286753	0.7350160179973313	-0.15774898792932507	0.6594442433554336	3.835104879627739	-3.580678617899759e-21	4.284660593575453e-22	3.6380938185786686e-22	0.005	-0.0006962423082683487	-0.00025750179213889375	-0.0004442081408857413	4.163552943136741	-0.27765394641564284	-0.09232555217458838	-0.27765394641564267	1.9612643809917887	-0.062132221579469696	-0.09232555217458831	-0.06213222157946975	1.324585579356194	-0.001678423839341192	0.0016703227210649594	0.00028687452323105435	0.03387647841578562	0.008459288541080641	0.012093922710387605	0.008459288541080641	0.011435390279039798	0.004494829451152463	0.012093922710387605	0.004494829451152463	0.027049531811781352
0.005	-0.694953683921616	1.889055599296868	-0.31538933711988887	-0.9881730412657879	0.3912140618081444	5.877517570663409	0.619097571446761	-0.04582066253156525	-0.05451319928935089	0.6194634502537291	-0.045926160850778525	-0.05473153752325889	0.7349975255481586	-0.1577430947897669	0.6594662640986501	3.8351248163318576	-0.08088090291006227	-0.04081408384842566	0.0653523571188612	0.005295787783155679	0.0010776887039014658	0.00011087251841250205	0.0012847782911399983	4.163502988819819	-0.27765206921060864	-0.0921439324515562	-0.2776520692106087	1.961254849716893	-0.06212913733388769	-0.09214393245155612	-0.062129137333887724	1.324574432049079	0.002691021819975241	-0.011423385433878436	0.0003145303982937822	0.03387523058534929	0.008458827695736347	0.012092844987514482	0.008458827695736349	0.011435242017875004	0.004494573528393221	0.012092844987514482	0.004494573528393221	0.027049257266633313
0.01	-0.6638696123623856	1.8685377149282691	-0.3042948073340379	-0.9800613216178393	0.344190826475402	5.868674126046008	0.6191023569243082	-0.04582095514270701	-0.05450850927574096	0.6197109618525279	-0.0459961234582682	-0.05487281377685306	0.7349841912066161	-0.1577379613555591	0.6594823532314937	3.8351375754656885	-0.13538778517998995	-0.06875637243442423	0.10979764286116561	0.005516888007165765	0.0009570789428494929	-5.852517210883878e-05	0.0009380086891938309	4.163469237504517	-0.27765074937532846	-0.0920113621222821	-0.277650749375328	1.9612482845610635	-0.06212910612051028	-0.09201136212228224	-0.062129106120510084	1.324566665741341	0.001484749832009246	-0.008353812238658843	0.00021656005398086806	0.033874312049956834	0.008458525309648053	0.012092117623753897	0.008458525309648055	0.011435159433428507	0.004494456501480115	0.012092117623753899	0.004494456501480115	0.02704912641440671
0.015	-0.6279587996560289	1.9056002710966236	-0.28993091419859646	-0.9517084388270394	0.30715134729858184	5.897988127547144	0.6191043907274025	-0.045820834519038456	-0.054506757677425674	0.6198759695850606	-0.04604276519659467	-0.05496699794591599	0.7349770415016261	-0.15773565120151553	0.6594908739365171	3.8351447107397827	-0.173291457296396	-0.089898710333258	0.1409176901751736	0.005684299447308753	0.0004067560959388939	2.4123418634109518e-05	0.0003503207800221437	4.163449751608109	-0.27765081964577903	-0.09194149983406091	-0.2776508196457796	1.9612448525446413	-0.06212803452568878	-0.09194149983406098	-0.06212803452568871	1.3245624676851717	0.0009484466453639707	-0.004404329073681194	5.343284927046747e-05	0.033873838733776945	0.00845834362974622	0.012091703207231288	0.00845834362974622	0.011435099072782957	0.004494358125329049	0.012091703207231286	0.004494358125329048	0.027049018938476353
0.02	-0.6594944574557543	1.8665332245325439	-0.2784822805966002	-0.965808869669171	0.2732203931478381	5.777997510112869	0.6191083538188329	-0.04582119656410322	-0.054504592175433096	0.6199859747400823	-0.04607385968881231	-0.055029787391957866	0.7349726539545612	-0.15773247583346922	0.6594965231192904	3.8351445185604796	-0.19927518899124103	-0.10533612826352622	0.16330108946407895	0.005808348909688054	0.0007926153264845137	-7.240954178929088e-05	0.0004331045194523174	4.163446419340468	-0.27765228721907176	-0.09190114911300568	-0.2776522872190719	1.9612449772130478	-0.06213081346679698	-0.09190114911300516	-0.06213081346679708	1.3245602947995867	-0.0005234354387860984	-0.002892615831217343	-0.0001667813586521127	0.033873541005618395	0.008458257098530859	0.012091686752894001	0.008458257098530859	0.011435080559786884	0.0044944219683852975	0.012091686752894	0.0044944219683852975	0.02704921872790542
0.025	-0.652235609671468	1.864783519504848	-0.2726440494740373	-0.9225447975928669	0.21119787767850523	5.721193666476991	0.6191113671065103	-0.04582147958691202	-0.05450219992374272	0.6200593115100969	-0.04609458935029073	-0.05507164702265245	0.7349688034770784	-0.15772865873614	0.6595017271613243	3.835144323135162	-0.21782335859710172	-0.11603805263693381	0.17933420531860178	0.005899975214304329	0.0006026554315530778	-5.6604567767694556e-05	0.00047845267013214637	4.16344173571067	-0.2776511883872371	-0.0918629881010496	-0.27765118838723657	1.96124386165279	-0.06213305646471835	-0.09186298810104929	-0.06213305646471848	1.3245582392065183	-0.0007174711698149953	-0.0027334988447226694	8.65444733646405e-05	0.033873251844542894	0.00845820063931814	0.012091602640424096	0.008458200639318141	0.011435080991105141	0.004494472102269027	0.012091602640424094	0.004494472102269026	0.02704933131971209
0.030000000000000002	-0.6182972298325062	1.8446875187192315	-0.26546668214285674	-0.9577689511357075	0.21236592358054934	5.60445419139823	0.6191126718818234	-0.04582170285321341	-0.05450068090128247	0.6201082026901066	-0.0461084091246097	-0.055099553443115803	0.7349657242125309	-0.15772532428295521	0.6595059562373844	3.83514315046691	-0.23116725282173609	-0.12372727989532611	0.1911064618254798	0.005968191395403351	0.00026095415238218346	-4.4653312633578396e-05	0.00030380493162526594	4.163434694371645	-0.2776514078233022	-0.09183313415950532	-0.27765140782330117	1.9612425657161041	-0.06213338236221329	-0.0918331341595056	-0.06213338236221346	1.3245565089742233	-0.0007927010987458978	-0.00220749746943399	-1.658469687934439e-07	0.03387304563206362	0.008458131962979676	0.012091452924308707	0.00845813196297968	0.011435062083421847	0.004494454432780475	0.012091452924308707	0.004494454432780473	0.027049317796692358
0.035	-0.6222127809409187	1.8231815093696822	-0.2866781872610046	-0.9437473893937578	0.24815074956443603	5.5400256603114295	0.6191169844821123	-0.04582266253546524	-0.05449752768677634	0.6201407968101129	-0.046117622307488976	-0.05511815772342456	0.7349591835434631	-0.15771966540646926	0.6595145985262174	3.835141390586881	-0.24059117622097884	-0.12713757831147443	0.20006410826765095	0.00601593344954935	0.0008625150341393009	-0.0001919366438143538	0.0006306479170490285	4.163424495821819	-0.27765399383199724	-0.09177148074841712	-0.27765399383199696	1.961241506286247	-0.0621361566245343	-0.09177148074841728	-0.062136156624534186	1.324553155634119	-0.001225092019621917	-0.00444137410397259	-0.0002306139490013206	0.033872615399242634	0.008457991104747866	0.012091278343579141	0.008457991104747863	0.011435025282178539	0.004494486772828835	0.012091278343579146	0.004494486772828837	0.02704944493307257
0.04	-0.642411531456656	1.8088109866937352	-0.29681774344797424	-1.0041087108812379	0.31540764509089736	5.470204965786989	0.6191287633790382	-0.04582582138123115	-0.0544902682471075	0.6203738048209645	-0.046132605785050185	-0.055240392069069624	0.7349476118924124	-0.15770923373488094	0.6595299882252488	3.8351354630312913	-0.3500334405365724	-0.3535797954405909	0.30601037088657057	0.0070626912864847425	0.002355755933794123	-0.0006317683927863955	0.0014519261162380653	4.163418841376062	-0.27766059149942085	-0.09166333370120457	-0.27766059149942107	1.961242610020514	-0.06214740843769882	-0.09166333370120444	-0.062147408437698816	1.3245479339950215	-0.002684642753732827	-0.007848539086625686	-0.0006827189739516731	0.03387182578488606	0.00845779854463547	0.012091300007738554	0.00845779854463547	0.011435004762271276	0.004494758919620955	0.012091300007738556	0.0044947589196209555	0.02705005245084821
0.045	-0.6478737494735485	1.8230947428291036	-0.29642014753719154	-0.9804728643800291	0.34147899163680684	5.487818184064239	0.6191468580703855	-0.04583088369585525	-0.05447933797713067	0.6205291434948654	-0.046142594770091	-0.05532188163283315	0.7349321627831942	-0.15769177388718036	0.6595513782527719	3.8351200443684617	-0.4096090695481604	-0.47927899464785	0.36630817493979745	0.007868785845940857	0.0036188890402412206	-0.001012461321843656	0.0021861442870218578	4.163418700594083	-0.2776707616491626	-0.09152061154843769	-0.2776707616491629	1.961245891127525	-0.0621659652822332	-0.09152061154843764	-0.06216596528223332	1.3245414004059903	-0.005558755621711226	-0.010912765448996675	-0.0010907342416703791	0.03387076364774091	0.008457572214934293	0.012091526507427654	0.008457572214934293	0.011435000492530873	0.004495242860497634	0.012091526507427655	0.004495242860497634	0.027051086143572847
